City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
251,at taj,LY,24.2049,23.2857,17,No hotel found
254,altay,CN,47.8667,88.1167,32,Sunshine Holiday Hotel
255,mazatan,MX,14.8667,-92.45,94,No hotel found
257,south hedland,AU,-20.4089,118.5983,26,Port Haven
261,alofi,NU,-19.0595,-169.9187,69,Matavai Resort
262,pelabuhanratu,ID,-6.9875,106.5514,81,Hotel Augusta
268,margarita belen,AR,-27.2616,-58.9722,73,Apart Diagonal
274,constantia,RO,44.1833,28.65,77,Hotel Chérica
278,sinabang,ID,2.4803,96.3801,76,No hotel found
279,ambon,ID,-3.6954,128.1814,95,Hotel Hero
281,doffing,US,26.2745,-98.3858,84,Executive Inn & Suites
285,canto do buriti,BR,-8.11,-42.9444,63,Novo Hotel
286,kununurra,AU,-15.7667,128.7333,28,No hotel found
291,el naranjo,MX,21.4667,-98.6,85,No hotel found
293,san antonio de pale,GQ,-1.4014,5.6325,81,No hotel found
294,arraial do cabo,BR,-22.9661,-42.0278,74,No hotel found
297,lethem,GY,3.3803,-59.7968,91,Hotel Amazonas
298,san andres,CO,12.5847,-81.7006,84,Hotel Decameron Isleño
299,hilo,US,19.7297,-155.09,89,Dolphin Bay Hotel
300,kapa'a,US,22.0752,-159.319,79,Pono Kai Resort
301,nova sintra,CV,14.8667,-24.7167,79,Residência Ka Dencho
302,yeysk,RU,46.6989,38.2792,61,"Отель ""Вилла Бристоль"""
304,sao vicente,BR,-23.9631,-46.3919,26,Pousada Vitória
307,revda,RU,56.801,59.9303,49,Металлург
309,kidal,ML,18.4411,1.4078,38,No hotel found
314,port isabel,US,26.0734,-97.2086,82,Queen Isabel Inn
316,papao,PF,-17.75,-149.55,83,Hiti Moana Villa Lodge
317,yaizu,JP,34.8667,138.3333,78,やいづマリンパレス
319,san patricio,US,28.017,-97.5169,77,No hotel found
321,brookings,US,44.3114,-96.7984,52,Quality Inn
322,charters towers,AU,-20.1,146.2667,20,No hotel found
326,flying fish cove,CX,-10.4217,105.6791,83,Christmas Island Lodge
328,boa vista,BR,2.8197,-60.6733,94,Aipana Plaza Hotel
329,budesti,RO,44.2347,26.4658,71,No hotel found
333,saint-paul,RE,-21.0096,55.2707,68,Hôtel d'application
334,primorsk,UA,46.7348,36.3443,62,Ферросплавщик
336,awjilah,LY,29.1081,21.2869,13,No hotel found
338,baruun-urt,MN,46.6806,113.2792,38,No hotel found
344,nizhniy kuranakh,RU,58.8353,125.4869,31,Самородок
346,mahajanga,MG,-15.7167,46.3167,73,Vahiny Hotel
347,severo-yeniseyskiy,RU,60.3725,93.0408,43,Актолик
350,antsiranana,MG,-12.2787,49.2917,68,Central
351,kloulklubed,PW,7.0419,134.2556,67,The Adventures Inn
353,shimoda,JP,34.6667,138.95,72,ホテルウラガ
354,talodi,SD,10.6325,30.3797,65,No hotel found
358,kalat,PK,29.0225,66.5916,8,No hotel found
365,luanda,AO,-8.8368,13.2343,92,Hotel Forum
366,rockport,US,28.0206,-97.0544,83,Holiday Inn Express & Suites
369,chebba,TN,35.2372,11.115,76,No hotel found
370,newman,US,37.3138,-121.0208,64,No hotel found
371,kayangel,PW,8.0823,134.7173,71,No hotel found
